name,domain,url,hq,founded,funding_status,total_funding_usd,last_round,investors,crunchbase
011h,011h.com,https://www.011h.com/,"Barcelona, Catalonia, Spain",2020-01-01,,67455516,Venture - Series Unknown,"Foundamental, noa, redalpine, Ship2B Ventures",https://www.crunchbase.com/organization/011h
AAVantgarde Bio,aavantgardebio.com,https://www.aavantgardebio.com/en/homepage/,"Milano, Lombardia, Italy",2021-01-01,Early Stage Venture,206254600,Series B,"Atlas Venture, Forbion Capital Partners, Schroders Capital, Sofinnova Partners",https://www.crunchbase.com/organization/aavantgarde-bio
ARTHEx Biotech,arthexbiotech.com,http://arthexbiotech.com/,"Valencia, Comunidad Valenciana, Spain",2019-01-01,Early Stage Venture,106540186,Series B,"AdBio partners, Bpifrance, Centre for the Development of Industrial Technology (CDTI), Columbus Venture Partners, European Innovation Council, Invivo Capital Partners",https://www.crunchbase.com/organization/arthex-biotech
ASTEO Red Neutra,asteo.es,https://asteo.es,"Alcobendas, Madrid, Spain",2021-01-01,,,,Allianz Global Investors,https://www.crunchbase.com/organization/asteo-red-neutra
Adcytherix,adcytherix.com,https://adcytherix.com,"Marseille, Provence-Alpes-Cote d'Azur, France",2023-01-01,Early Stage Venture,155065002,Series A,"Andera Partners, Angelini Ventures, Bpifrance, Kurma Partners, Pontifax",https://www.crunchbase.com/organization/adcytherix
Adfin,adfin.com,https://adfin.com/,"London, England, United Kingdom",2024-04-01,Early Stage Venture,31226403,Series A,"Index Ventures, Visionaries Club",https://www.crunchbase.com/organization/adfin
Aily Labs,ailylabs.com,https://ailylabs.com/,"Munich, Bayern, Germany",2020-01-01,Early Stage Venture,100518159,Series B,"FPV Ventures, Insight Partners",https://www.crunchbase.com/organization/aily-labs
Algorithmiq,algorithmiq.fi,https://www.algorithmiq.fi/,"Turku, Western Finland, Finland",2020-01-01,,40534915,Venture - Series Unknown,"Cassa Depositi e Prestiti, Inventure, United Ventures, Wellcome Leap",https://www.crunchbase.com/organization/algorithmiq
Aonic Group,aonic.co,https://aonic.co/,"Stockholm, Stockholms Lan, Sweden",2021-01-01,Private Equity,159858483,Private Equity,Metric Capital Partners,https://www.crunchbase.com/organization/aonic-group
Apheris,apheris.com,https://www.apheris.com,"Berlin, Berlin, Germany",2019-01-01,Early Stage Venture,32482796,Series A,"eCapital, Intel Ignite, LocalGlobe, Octopus Ventures, OTB Ventures",https://www.crunchbase.com/organization/apheris-ai
Arbio,arbio.com,https://arbio.com,"Berlin, Berlin, Germany",2022-01-01,Early Stage Venture,46205656,Series A,Eurazeo,https://www.crunchbase.com/organization/arbio-group
Ayan,ayan.co.uk,https://www.ayan.co.uk/,"London, England, United Kingdom",2023-09-01,Seed,3984074,Seed,Partners for Growth,https://www.crunchbase.com/organization/ayan-capital
BLP Digital,blp.digital,https://blp.digital/,"Zürich, Zurich, Switzerland",2019-01-01,,,,"Goldman Sachs Alternatives, Innosuisse, MassChallenge Switzerland",https://www.crunchbase.com/organization/blp-digital
Bigger Games,biggergames.com,https://www.biggergames.com/,"Sisli, Istanbul, Turkey",2019-03-01,Early Stage Venture,31000000,Series A,"Goodwater Capital, Index Ventures",https://www.crunchbase.com/organization/bigger-games
Blockbrain,blockbrain.ai,https://blockbrain.ai/,"Stuttgart, Baden-Wurttemberg, Germany",2022-05-06,Early Stage Venture,26210306,Series A,"13books Capital, Alstin Capital, Giesecke+Devrient Ventures",https://www.crunchbase.com/organization/blockbrain
Bloq.it,bloq.it,https://bloq.it/,"Lisbon, Lisboa, Portugal",2019-02-01,Early Stage Venture,32632666,Series B,Business Angel,https://www.crunchbase.com/organization/bloq-it
Boost,boostinc.com,https://boostinc.com,"Zürich, Zurich, Switzerland",2020-01-01,Early Stage Venture,18729865,Series B,Direttissima Growth Partners,https://www.crunchbase.com/organization/boost-d243
Born,born.com,https://www.born.com/,"Berlin, Berlin, Germany",2022-10-01,Early Stage Venture,22600000,Series A,Accel,https://www.crunchbase.com/organization/slay-ad58
Breathe Battery Technologies,breathebatteries.com,https://breathebatteries.com/,"London, England, United Kingdom",2019-01-01,Early Stage Venture,32994954,Series B,"Creative Destruction Lab (CDL), Kinnevik, Lowercarbon Capital, Speedinvest, Volvo Cars Tech Fund",https://www.crunchbase.com/organization/breathe-battery-technologies
CHARM Therapeutics,charmtx.com,https://charmtx.com/,"London, England, United Kingdom",2021-01-01,Early Stage Venture,162690588,Series B,"F-Prime, NVentures, OrbiMed, SR One",https://www.crunchbase.com/organization/charm-therapeutics
Cerrion,cerrion.com,https://cerrion.com,"Zürich, Zurich, Switzerland",2021-01-01,Early Stage Venture,23000000,Series A,"Creandum, Goat Capital, Y Combinator",https://www.crunchbase.com/organization/cerrion
Clinomic,clinomic.ai,https://www.clinomic.ai/de/,"Aachen, Nordrhein-Westfalen, Germany",2019-01-14,Early Stage Venture,54616136,Series B,"DeepTech & Climate Fonds, German Federal Ministry of Research, Technology and Space, Sana Kliniken",https://www.crunchbase.com/organization/clinomic
Coultreon Biopharma,coultreon.com,https://www.coultreon.com/,"Heverlee, Vlaams-Brabant, Belgium",2025-01-01,Early Stage Venture,125000000,Series A,"Forbion Capital Partners, Novo Holdings, Sofinnova Investments",https://www.crunchbase.com/organization/onco3r-therapeutics
Deblock,deblock.com,https://deblock.com,"London, England, United Kingdom",2022-01-01,Early Stage Venture,63120122,Series A,Speedinvest,https://www.crunchbase.com/organization/deblock
